{user} | **Чай попьём?**  
{user} | **Рад вас видеть.**  
{user} | **Добро пожаловать в наш клуб.**  
{user} | **Присаживайтесь поудобнее.**  
{user} | **Как ваши дела?**  
{user} | **Хорошего вам дня.**  
{user} | **Мы вас ждали.**  
{user} | **Приветствую вас.**  
{user} | **Как добрались?**  
{user} | **Надеюсь, вам тут понравится.**  
{user} | **Все только о вас и говорят.**  
{user} | **Выглядите прекрасно.**  
{user} | **Какая неожиданная встреча.**  
{user} | **Давно не виделись.**  
{user} | **Как ваше настроение?**  
{user} | **Что привело вас к нам?**  
{user} | **Приятно познакомиться.**  
{user} | **Надеюсь, вы останетесь надолго.**  
{user} | **Как вам наше сообщество?**  
{user} | **Рады новому участнику.**  
{user} | **Ваше мнение для нас важно.**  
{user} | **Не стесняйтесь, располагайтесь.**  
{user} | **Всегда рады гостям.**  
{user} | **Надеемся, вам тут понравится.**  
{user} | **Ваше присутствие украшает сервер.**  
{user} | **Как вам наша атмосфера?**  
{user} | **Привет от всех участников.**  
{user} | **Будьте как дома.**  
{user} | **Ваш визит - большая честь.**  
{user} | **Что нового?**  
{user} | **Как ваши успехи?**  
{user} | **Надеюсь, вам будет комфортно.**  
{user} | **Привет от администрации.**  
{user} | **Ваше мнение для нас ценно.**  
{user} | **Рады видеть вас снова.**  
{user} | **Как вам наш сервер?**  
{user} | **Надеюсь, вы найдёте тут друзей.**  
{user} | **Ваше участие важно для нас.**  
{user} | **Привет от модераторов.**  
{user} | **Как вам наши правила?**  
{user} | **Надеемся на плодотворное общение.**  
{user} | **Ваше присутствие радует всех.**  
{user} | **Как вам наша подборка каналов?**  
{user} | **Привет от старых участников.**  
{user} | **Надеюсь, вам будет интересно.**  
{user} | **Ваше участие украшает наш сервер.**  
{user} | **Как вам наше сообщество?**  
{user} | **Привет от создателя сервера.**  
{user} | **Надеемся, вы останетесь довольны.**  
{user} | **Ваше мнение поможет нам стать лучше.**  
{user} | **Как вам наши мероприятия?**  
{user} | **Привет от самых активных участников.**  
{user} | **Надеюсь, вы найдёте тут единомышленников.**  
{user} | **Ваше присутствие вдохновляет.**  
{user} | **Как вам наша атмосфера?**  
{user} | **Привет от технической поддержки.**  
{user} | **Надеемся, вам понравится у нас.**  
{user} | **Ваше участие делает сервер лучше.**  
{user} | **Как вам наши обсуждения?**  
{user} | **Привет от всех модераторов.**  
{user} | **Надеюсь, вы получите удовольствие.**  
{user} | **Ваше мнение важно для развития.**  
{user} | **Как вам наше гостеприимство?**  
{user} | **Привет от ветеранов сервера.**  
{user} | **Надеемся, вы задержитесь надолго.**  
{user} | **Ваше присутствие делает день ярче.**  
{user} | **Как вам наши традиции?**  
{user} | **Привет от самых дружелюбных участников.**  
{user} | **Надеюсь, вы почувствуете себя как дома.**  
{user} | **Ваше участие ценится всеми.**  
{user} | **Как вам наше сообщество?**  
{user} | **Привет от самых весёлых участников.**  
{user} | **Надеемся, вы получите положительные эмоции.**  
{user} | **Ваше присутствие - праздник для нас.**  
{user} | **Как вам наше гостеприимство?**  
{user} | **Привет от самых мудрых участников.**  
{user} | **Надеюсь, вы найдёте тут интересное.**  
{user} | **Ваше мнение поможет нам расти.**  
{user} | **Как вам наша дружеская атмосфера?**  
{user} | **Привет от самых креативных участников.**  
{user} | **Надеемся, вы останетесь довольны.**  
